MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
DNE21 V.11,AME Reference,World,Emissions|CO2,Mt CO2/yr,28271.98989,33335.012,,41059.26606,,49160.23161,,56777.41758,,58969.97833,,,,,,,,,,
GCAM 2.0,AME Reference,World,Emissions|CO2,Mt CO2/yr,34723.06258,36872.79642,,44108.65068,,49715.42806,,58190.57347,,66907.27214,,71100.75818,,74470.36641,,78077.68728,,79804.7244,,81995.93916
GRAPE_ver1998,AME Reference,World,Emissions|CO2,Mt CO2/yr,31232.22853,34416.49037,,42020.77638,,47889.94704,,51410.96243,,54192.98791,,54916.45381,,57115.9293,,58897.53838,,62067.83008,,65355.88982
GTEMREF32,AME Reference,World,Emissions|CO2,Mt CO2/yr,31612.1647,35636.69705,,47007.38995,,61205.59137,,73263.99298,,83507.20239,,90941.26422,,97604.05609,,104017.5049,,111056.1978,,117750.716
IMAGE 2.4,AME Reference,World,Emissions|CO2,Mt CO2/yr,34245.42,34687.59,,41679.73,,43676.29,,46108.74,,49568.89,,55829.61,,62345.77,,68764.72,,73951.22,,77508.21
MARIA23_org,AME Reference,World,Emissions|CO2,Mt CO2/yr,27831.99604,30721.90055,,36154.87795,,41507.72934,,48164.57593,,53772.72087,,56939.73965,,58426.31007,,60034.33243,,64340.88787,,75112.711
MERGE_AME,AME Reference,World,Emissions|CO2,Mt CO2/yr,,32415.797,,37526.18015,,45870.11657,,56351.64897,,67645.36739,,79163.92415,,91057.82324,,103807.6074,,112137.6605,,119900.2531
MESSAGE V.3,AME Reference,World,Emissions|CO2,Mt CO2/yr,33882.22933,34322.08267,,42369.45167,,48273.08567,,55630.93433,,64103.64033,,71455.56367,,75323.92633,,76454.906,,75251.11,,72622.209
REMIND 1.3,AME Reference,World,Emissions|CO2,Mt CO2/yr,33691.987,36274.883,43245.275,50532.963,56455.47,61566.802,66057.011,70185.403,73768.06,76563.75,78166.261,78756.422,78520.1,77567.213,76443.273,75123.063,73924.189,72689.036,71350.61,69864.276
TIAM-World_Mar2012,AME Reference,World,Emissions|CO2,Mt CO2/yr,29760.45364,32524.35055,,37630.84282,,44483.61043,,51590.68965,,58966.07266,,65381.82047,,70259.44189,,74341.05866,,76801.89312,,78185.39372
TIMES-VTT-2011,AME Reference,World,Emissions|CO2,Mt CO2/yr,32585.83827,34293.68397,,38732.15599,,42065.19088,,46981.4719,,51875.46197,,56604.62528,,60842.14426,,65088.43735,,71188.17907,,73399.13466
WITCH_AME,AME Reference,World,Emissions|CO2,Mt CO2/yr,33617.14612,33937.8267,,38254.59213,,45231.04529,,52879.96199,,60366.66022,,68265.84704,,74317.17469,,78446.18419,,80757.11738,,81423.92808
DNE21 V.12,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33645.65294,38859.6157,43502.08758,48937.64449,54384.61056,58986.00157,,68758.67191,,71274.09304,,,,,,,,,,
GCAM 3.0,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,31473.40134,31534.83934,36737.08123,42317.32448,47958.84401,53124.93397,58099.49598,62591.68555,67055.52144,71694.32298,74044.65166,76544.16845,78895.57512,80062.25123,81035.57939,81611.26499,82057.06473,82412.37476,82953.05035,83493.72594
IMACLIM v1.1,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,29490,35080,42560,50150,58310,67100,74350,80320,85970,91770,,103500,,114700,,125200,,136400,,145400
IMAGE 2.4,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,34421.02669,35591.13737,38175.17057,43162.6071,47272.17057,49520.05566,53847.23796,54307.03581,58729.25781,62469.29362,,67273.57943,,71441.95638,,79648.54362,,88014.99609,,96101.90104
MERGE-ETL_2011,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,31814.76,35401.68,,51212.54,,65369.02,,73371.36,,88121.83,,100424.42,,116327.41,,125706.45,,136696.63,,150377.28
MESSAGE V.4,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,34468.104,36076.63033,,43625.61133,,50906.394,,58900.699,,66308.80667,,71752.516,,74722.87167,,78738.30433,,80832.56867,,83847.01967
POLES AMPERE,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,29207.968,31757.568,,41710.46,,50673.704,,57217.296,,61758.944,,65747.708,,69440.096,,72805.816,,76761.112,,79596.744
REMIND 1.5,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33841.491,37377.78,41182.111,45097.858,48848.037,51959.297,55502.518,60564.977,66563.985,73360.425,,83778.323,,87629.912,,84134.748,,74159.898,,65788.247
WITCH_AMPERE,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33606.03819,37348.84991,41210.90295,45518.90846,49716.01221,53761.95594,57562.79893,61288.23783,65038.4332,68277.71167,71209.87134,73920.94466,76280.70134,78879.87375,81151.52357,83270.5046,85342.22258,87435.38662,89358.37963,91147.32652
DNE21 V.12,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,33645.65294,38899.03237,42445.20758,46448.01449,50355.09056,54221.5349,,63029.10191,,65559.59304,,,,,,,,,,
GCAM 3.0,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,31473.2625,31678.58351,37126.89572,43204.90265,49331.64846,55017.44972,60617.89879,65688.67963,70768.05937,76062.72313,79042.7873,82126.44068,84984.27087,86772.32173,88332.26043,89458.83022,90461.77696,92272.21037,94016.37883,95760.54729
GEM-E3-ICCS,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,29007.68248,31284.99312,34362.58195,40606.13517,46338.46427,49967.25453,54311.7918,59804.03695,65641.94828,70166.73799,,,,,,,,,,
IMACLIM v1.1,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,29300,34600,41100,46700,51200,54400,55500,55200,54600,54700,,55900,,58300,,61900,,66000,,69300
IMAGE 2.4,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,34421.02669,35591.13737,38175.17057,43162.6071,47272.17057,49520.05566,53847.23796,54307.03581,58729.25781,62469.29362,,67273.57943,,71441.95638,,79648.54362,,88014.99609,,96101.90104
MERGE-ETL_2011,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,31814.76,35401.68,,51212.54,,65369.02,,73371.36,,88121.83,,100424.42,,116327.41,,125706.45,,136696.63,,150377.28
MESSAGE V.4,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,34468.104,36076.63033,,43625.61133,,50906.394,,58900.699,,66308.80667,,71752.516,,74722.87167,,78738.30433,,80832.56867,,83847.01967
POLES AMPERE,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,29207.968,31730.812,,41444.82,,50443.28,,57377.624,,62487.156,,66988.192,,71072.824,,75083.4,,78285.04,,80271.656
REMIND 1.5,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,33841.491,37381.714,41225.918,44969.869,48773.88,51942.674,55457.414,60626.38,66721.487,73523.404,,83712.833,,87510.855,,83958.154,,73482.201,,64759.689
WITCH_AMPERE,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,33606.03819,37348.84991,41210.90295,45518.90846,49716.01221,53761.95594,57562.79893,61288.23783,65038.4332,68277.71167,71209.87134,73920.94466,76280.70134,78879.87375,81151.52357,83270.5046,85342.22258,87435.38662,89358.37963,91147.32652
WorldScan2,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,35170.29004,36776.45093,,40877.58866,,45311.73216,,54082.90423,,62660.74863,,,,,,,,,,
IMAGE 2.4 EMF22,EMF22 Reference,World,Emissions|CO2,Mt CO2/yr,,34698.701,,39983.018,,40613.2739,,44686.902,,46690.326,,48264.476,,51314.176,,53454.2635,,56459.8604,,59381.3254
MERGE_EMF22,EMF22 Reference,World,Emissions|CO2,Mt CO2/yr,,31540.07049,,37601.95518,,45090.29113,,55093.50342,,66466.60613,,78856.70803,,92625.85416,,103663.5115,,112122.3196,,117913.5214
MESSAGE V.1,EMF22 Reference,World,Emissions|CO2,Mt CO2/yr,,32740,,40840,,44840,,46820,,45070,,44830,,42830,,41170,,40360,,40250
MiniCAM_EMF22,EMF22 Reference,World,Emissions|CO2,Mt CO2/yr,,34614.79027,,39939.14785,,46981.02417,,53511.13443,,59529.47863,,64370.10544,,69104.50784,,73732.68582,,77406.1352,,81079.58458
SGM_EMF22,EMF22 Reference,World,Emissions|CO2,Mt CO2/yr,,29522.22135,,34377.87105,,40650.66964,,48949.49326,,55773.67277,,63109.50133,,67886.11228,,71795.84226,,74678.44664,,76983.98422
TIAM-World_2007_version,EMF22 Reference,World,Emissions|CO2,Mt CO2/yr,,30898.92666,,34933.07869,,42011.7343,,49052.05367,,55191.20968,,60716.72227,,65846.98479,,70977.2473,,74275.74289,,77574.23849
WITCH_EMF22,EMF22 Reference,World,Emissions|CO2,Mt CO2/yr,,35353.20969,,43069.76387,,50853.91575,,58191.0873,,64794.8651,,71296.27409,,77588.30394,,82732.53431,,86371.96993,,86990.86552
AIM-Enduse 12.1,EMF27-Base-FullTech,World,Emissions|CO2,AIM-Enduse 12.1,34492.04991,38313.59053,39612.59695,43835.48629,49027.79529,54552.85942,,,,,,,,,,,,,,
BET 1.5,EMF27-Base-FullTech,World,Emissions|CO2,BET 1.5,29815.48672,31377.85107,39440.43572,50125.92048,60352.31784,71255.20762,81559.37294,89701.56371,90848.95818,90603.67503,93043.5469,,,,,,,,,
EC-IAM 2012,EMF27-Base-FullTech,World,Emissions|CO2,EC-IAM 2012,26821.21891,30035.25716,35091.34307,40900.49064,46076.35817,51303.58943,55714.14114,59687.05298,59855.3876,59476.83523,62045.48448,,,,,,,,,
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,World,Emissions|CO2,ENV-Linkages (WEO2012 calibration),,36429.3,40811.6,46566.1,52840.5,59812.1,,,,,,,,,,,,,,
GCAM 3.0,EMF27-Base-FullTech,World,Emissions|CO2,GCAM 3.0,31473.62448,34685.29283,43318.47963,51233.36318,57308.36374,63987.63671,68381.59072,72124.97657,75247.84157,77206.61105,77589.16824,,,,,,,,,
GRAPE ver2011,EMF27-Base-FullTech,World,Emissions|CO2,GRAPE ver2011,30526.90372,33005.84075,40899.09983,48273.20401,52265.71484,54257.31593,56480.42381,60219.07661,65989.09972,70899.20763,75044.49438,,,,,,,,,
IMACLIM v1.1,EMF27-Base-FullTech,World,Emissions|CO2,IMACLIM v1.1,29110,33820,42140,47800,51620,52300,54990,56260,56780,59250,60720,,,,,,,,,
IMAGE 2.4,EMF27-Base-FullTech,World,Emissions|CO2,IMAGE 2.4,34391.39258,35246.30957,40384.51986,44757.27767,48671.22233,55920.66276,61887.17448,65748.83333,72569.19857,78338.47656,82774.77799,,,,,,,,,
MERGE_EMF27,EMF27-Base-FullTech,World,Emissions|CO2,MERGE_EMF27,28501.22,33303.16107,43021.89939,54681.24053,64214.82041,73116.82838,81405.98851,90072.94409,98476.95413,108882.8358,120493.312,,,,,,,,,
MESSAGE V.4,EMF27-Base-FullTech,World,Emissions|CO2,MESSAGE V.4,34491.02067,36087.08767,42809.723,48375.987,55957.77367,64431.68233,71728.316,75668.27767,77297.82133,77283.34533,75904.565,,,,,,,,,
POLES EMF27,EMF27-Base-FullTech,World,Emissions|CO2,POLES EMF27,29207.968,31730.812,41435.892,50432.084,57374.652,62373.36,66930.32,71272.656,75018.128,78224.288,80634.56,,,,,,,,,
Phoenix 2012.4,EMF27-Base-FullTech,World,Emissions|CO2,Phoenix 2012.4,27523.4947,30042.74775,35906.25132,42677.37117,50706.89496,59638.73681,,,,,,,,,,,,,,
REMIND 1.5,EMF27-Base-FullTech,World,Emissions|CO2,REMIND 1.5,33837.411,38293.0784,48134.4153,53343.8224,59836.1036,70077.8937,77941.2133,82914.1458,84109.2304,75995.0928,68004.379,,,,,,,,,
TIAM-WORLD 2012.2,EMF27-Base-FullTech,World,Emissions|CO2,TIAM-WORLD 2012.2,30778.5713,32449.2403,38229.19316,44351.52294,51117.93163,58047.56821,64577.01307,70468.35104,76012.502,82606.73521,89259.88796,,,,,,,,,
WITCH_EMF27,EMF27-Base-FullTech,World,Emissions|CO2,WITCH_EMF27,33567.64183,37320.72029,45566.3046,53831.56371,61236.61747,67522.6983,73101.32283,78164.98411,82668.73911,87107.17402,90854.38352,,,,,,,,,
AIM-Enduse[Backcast] 1.0,LIMITS-Base,World,Emissions|CO2,Mt CO2/yr,34450.32383,35599.07898,38269.90793,42309.88287,45774.10741,48690.06717,51021.14243,54053.6424,56252.34996,60200.7158,,,,,,,,,,
GCAM 3.1,LIMITS-Base,World,Emissions|CO2,Mt CO2/yr,31392.78252,34560.52505,38731.53777,43683.49018,48330.28299,51615.62828,54400.00763,57974.93635,61341.10604,65077.21395,,69932.63847,,74055.21382,,77602.2136,,79948.45847,,80844.75372
IMAGE 2.4,LIMITS-Base,World,Emissions|CO2,Mt CO2/yr,34391.39258,35246.30957,37083.93262,40384.51986,42518.59505,44757.27767,47995.42057,48671.22233,52498.59928,55920.66276,,61887.17448,,65748.83333,,72569.19857,,78338.47656,,82774.77799
MESSAGE V.4,LIMITS-Base,World,Emissions|CO2,Mt CO2/yr,34491.12333,36086.52667,,42807.73933,,48381.51633,,55989.46833,,64420.15067,,71719.725,,75692.683,,77270.44233,,77144.683,,75870.56767
REMIND 1.5,LIMITS-Base,World,Emissions|CO2,Mt CO2/yr,33841.491,37332.71,41109.434,44814.459,48598.438,51748.906,55260.423,60450.292,66636.116,73605.565,,84185.092,,88245.17,,85052.006,,75167.402,,67029.924
TIAM-ECN,LIMITS-Base,World,Emissions|CO2,Mt CO2/yr,33838.29747,35833.68599,,43771.68436,,48143.30758,,52108.96768,,55951.71561,,60124.55041,,65304.15815,,68950.20343,,71996.75303,,75533.42591
WITCH_LIMITS,LIMITS-Base,World,Emissions|CO2,Mt CO2/yr,33572.7958,37209.3798,41021.88009,45271.58384,49445.40239,53412.61273,57084.61406,60719.30252,64288.59488,67719.95555,,74775.43209,,80813.68954,,85937.05529,,90471.00063,,94434.54238
GCAM 3.0,ROSE BAU DEF,World,Emissions|CO2,Mt CO2/yr,31435.50977,34875.30859,,46351.66016,,57484.17969,,65646.14063,,73305.57813,,74526.11719,,74369.29688,,72634.20313,,69152.96094,,64622.53906
REMIND 1.4,ROSE BAU DEF,World,Emissions|CO2,Mt CO2/yr,33764.51953,37209.73828,,45764.71875,,55078.23828,,62501.26953,,66741.04688,,69673.52344,,70780.46875,,72063.95313,,68892.49219,,64683.39844
WITCH_ROSE,ROSE BAU DEF,World,Emissions|CO2,Mt CO2/yr,33471.98047,36789.89844,,42628.71875,,49583.48047,,57270.62891,,64439.55078,,71476.61719,,77929.21094,,83262.86719,,85669.29688,,86773.72656
